open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.71733E+12,3789.05,3812,3789.04,3806.26,56651.78,1.71733E+12,215501130.8,69943,30321.908,115333605.9,0,
1.71733E+12,3806.27,3812.29,3796.57,3802.79,30412.059,1.71733E+12,115626992.8,34979,12861.834,48909754.44,0,
1.71733E+12,3802.78,3802.79,3790.17,3798,16363.988,1.71733E+12,62117216.14,25075,6675.412,25334843.83,0,
1.71733E+12,3798,3800,3795.01,3798.76,6811.953,1.71733E+12,25870499.45,15133,3985.952,15138522.56,0,
1.71733E+12,3798.76,3800.79,3787.9,3789.6,9512.635,1.71733E+12,36081319.83,21194,4068.189,15435749.03,0,
1.71733E+12,3789.6,3792.11,3778.4,3787.99,24898.546,1.71733E+12,94237956.76,36223,11993.955,45400064.21,0,
1.71733E+12,3788,3797.07,3786.83,3795.88,14464.237,1.71733E+12,54860848.09,20847,8955.344,33964065.38,0,
1.71734E+12,3795.95,3796.96,3788.09,3795.85,8024.948,1.71734E+12,30434346.01,17942,3400.043,12894828.79,0,
1.71734E+12,3795.84,3802.95,3795,3798,10160.589,1.71734E+12,38603391.55,21426,4750.654,18050555.98,0,
1.71734E+12,3798,3799.6,3792,3799.6,4898.502,1.71734E+12,18593730.98,12779,2349.762,8919810.897,0,
1.71734E+12,3799.6,3805,3798.11,3804.99,16798.798,1.71734E+12,63864158.47,24172,9049.284,34405187.52,0,
1.71734E+12,3805,3812,3800.79,3800.8,21322.716,1.71734E+12,81173917.74,35087,9951.566,37893016.05,0,
1.71734E+12,3800.8,3808.45,3798.11,3808.44,9968.061,1.71734E+12,37911077.83,18358,5989.118,22780865.58,0,
1.71734E+12,3808.45,3810.09,3802,3802.54,8426.471,1.71734E+12,32071411.67,16950,3333.75,12688800.03,0,
1.71734E+12,3802.54,3803.43,3794.35,3796.36,8165.572,1.71734E+12,31010144.66,16175,3445.312,13084197.22,0,
1.71734E+12,3796.36,3799.37,3795.45,3798.05,4719.004,1.71734E+12,17922806,10795,2887.009,10964872.67,0,
1.71734E+12,3798.05,3803.78,3797.19,3801.48,4630.634,1.71734E+12,17598876.71,11896,2643.425,10047061.51,0,
1.71734E+12,3801.53,3806.16,3795.79,3796,8669.476,1.71734E+12,32956734.59,18724,3952.684,15027961.01,0,
1.71734E+12,3796,3796.79,3790.73,3792.07,10252.609,1.71735E+12,38893494.6,17328,3269.135,12401042.17,0,
